,source,target,sampled
0,woman with blue dress sitting in modern chair next to vase in empty room,a barefoot woman sitting in a chair relaxing, a lady sitting in a chair outside
1,an orange is on the white line on a street and some cars,an orange lying near the white stripe of a highway, several cars waiting for the side of a race
2,a girl sitting on a bench in front of a stone wall,a woman sitting on a bench in a stone alcove, a girl sitting on a bench in front of a mural
3,four kids sitting on surfboards with man in background,a group of kids being instructed on how to boogie board, a group of kids being gathered to go on an inflatable ride
4,a man standing on top of an orange boat on a river,a big wide boat with some wires above it, a large boat with cargo and sailing by
5,two small children petting animals at a zoo,two young girls petting goats in a pen, two young children petting zoo in a public area
6,the clock is built near the roof of a building,a clock on a building with a sky background, a crane on a building with a white building
7,a marine in uniform using a smart phone,a man in uniform is looking at his phone, a man in uniform is looking at his cellphone
8,a man that is on a tennis court with a racquet,there is a male tennis player wearing a blue shirt playing on the court, there is a tennis player wearing a tennis racket and is standing on the court
9,a cat sleeping on a bed next to a laptop computer,a cat laying on a bed next to a laptop, a cat sleeping on a laptop next to a computer
10,a man sitting cross legged in front of a mirror on the floor taking a self portrait,the man is meditating in front of the mirror, the man is covered in art on the wall
11,a clean bathroom has a shower curtain with palm trees on it,a palm tree shower curtain is shown in a small bathroom, an aspirin shower is spraying a glass of water
12,a larger zebra resting its head on a smaller zebra,one zebra resting its head on the back of another, one beagle resting on the back of a chair
13,a person lifting a little stool with their feet and a person holding a cell phone,someone that is holding a cell phone and has blue socks, someone is doing a cell phone and holding a bag
14,there is a woman sitting down with a notepad in her hand,a woman sitting next to a fire hydrant with a notebook in hand, a woman sitting next to a large writing with writing in a notebook
15,a mother and child fly a kite in a grassy field with a tower in the background,a woman and girl flying a kite near a large castle, a woman and child watching a flying range
16,person standing on the pack of a galloping horse,a man stands on the backs of two running horses, a man is standing on top of horses
17,a tennis players concentrates as he prepares to smack the ball,a male tennis player in action on the court, a tennis player in mid in the air
18,a kitchen with old wooden cabinets and a stove top oven,wooden central counter top in a tiled kitchen, kitchen and stove are inside a kitchen
19,two athletes actively playing a game of baseball,a baseball player in a black jersey swinging a bat, two baseball players in a baseball game fighting
20,a small white dog catching a green frisbee on a lush green field,a little dog jumping up towards a frisbee someone is holding, a yellow dog trying to catch an object
21,a person watching tv in a living room with lamps,the man is in his living room playing a video game, the person is looking at tv in a red room
