,source,target,sampled
0,a black sculpture of a torso is on the floor next to a tv,a living room with tv and entertainment center beside a sculpture of a torso, a sculpture with black hair and tattoos on an indoor sculpture
1,a man on a skateboard with a hat,a skateboarder jumping over an obstacle on his board, a skateboarder jumping over an obstacle on his skateboard
2,half a dozen donuts are sitting in a box,six donuts all being a different kind of flavor, several four pieces of donuts are in a factory
3,a horrible public toilet that looks like it could use a good cleaning,a handicap toilet with a foreign language written above it, a glassblower with a broken object cleaning it s face
4,a young man running towards a white frisbee,a man leaning over as he reaches for a white frisbee, a man moving away from his surfboard with a white and white frisbee
5,a motorcycle is parked on a dirt road in a forest,a motorcycle is parked on a tree lined dirt road, a motorcycle is parked on a dirt road beside a forest
6,a wood carved bear is sitting on a table,the large bear is made up of clay, a man is relaxing on top of a wooden table
7,a couple of people are crossing a busy street,a street with two busses and people walking, a couple with people crossing the street and walking
8,a herd of elephants walking across a body of water,a herd of elephants in rocky area next to water, a flock of camels walking around the beach
9,a lady on her phone sitting on a curb,a woman sitting on the sidewalk talking on her cell phone, a woman sitting on the curb talking on her cellphone
10,a bathroom with some orange walls on it,a bathroom is painted in white and orange, a toddler is laying in the yellow room
11,a man sitting in a chair with a cat and a laptop,an apple user and his faithful cat surf the web, an elderly gentleman with his laptop sits at a desk computer
12,a small sheep is standing under a wooden fence post,a sheep standing on the grass in front of a fence, a cow standing in front of the fence
13,a person bent over sleeping in a chair next to others,a person that has fallen asleep with a book bag on their lap, a person has fallen asleep with a person behind him in front of a crowd
14,a rider dressed in white riding a matching white motorcycle,a guy on a motorcycle with some people watching, a rider on a street with some people
15,a person talking on a phone with a tree in the foreground,a man standing with a cell phone by a tree, a man talking with a cellphone phone
16,a street sign is in front of gravel a sidewalk and a fence,a street sign at the corner of s lane st and 12th ave, a street scene at the side of the road lined to concrete
17,a baseball player with a bat in his hand as the pitcher gets ready to throw the ball,there is a male tennis player that is at base, there is a baseball player who is going to
18,a decorated truck is parked at a curb near a building,a delivery box truck with a painting going around it, a cement truck with a truck parked on it
19,a large brown dog holding a neon frisbee in his mouth,a dog lying on the ground holds a chew toy in its mouth, a dog stands on the grass holding a frisbee in his mouth
20,this woman has stopped snowboarding to pose for a picture,a woman on skis standing sideways in the snow, a woman on skis smiling at camera
21,some people sitting and standing on the beach,people lying in the sun on the beach, people sitting on the beach
22,a large trains travels past a river that contains several different boats,a blue and yellow train is traveling down the tracks near some water and boats, a large group of people are traveling down the road near water on some rocks
23,a woman standing on a tennis court in the sun,lady standing on the tennis court posing with the racquet, lady standing on the beach beside her tennis racket
24,a young guy on a cell phone by a crowd of people,a person on a cell phone in a group of people, a man on a cellphone in a group of people
25,a group of people staring at a woman holding a bat,a woman being photographed holding a baseball bat, a woman watches a group of women sitting
26,a skier on a snow covered mountain resort,a man is at the bottom a ski slope, a skier is on the snow is a slope
27,a cat sitting between two bikes sitting next to each other,a cat with its mouth opened sitting between some bikes, a cat with two legs crossed by sitting on a bench
28,an orange is sitting on top of a bench,an orange sitting on top of a wooden table, an sitting on bench of a wooden bench
29,a blue plate with some shrimp a fork knife and other items of food,a blue plate filled with a large serving of foood, a large fish filled with a knife
30,a book a camera lens a cellphone on a white counter top,a remote control a book a cellphone and a camera lens attachment on top of a white bed sheet, a mirror takes a photo of a mirror full of a mirror while looking at a mirror screen
31,a laptop sitting next to a monitor keyboard and a mouse,large office desk with computers near a window, an old computer sitting near a computer
32,a group of people that is surfing on some water,three surfers are close together on the waves, several surfers are out surfing on the water
33,a man in a big jacket skiing down a snowy slope,a man standing on a pair of skis and coming down a snow covered hill, a man in winter gear and a helmet is skiing down a snow covered hill
34,a couple of people riding waves on top of boards,a couple of people that are surfing in water, a couple of people are surfing in water
35,a person sitting down with a cell phone,a man sitting on top of a couch holding a smart phone, a man sitting on top of a telephone phone
36,a man in a suit is talking to a group,a man is speaking at a panel in front of a crowd, a man is speaking to a group of people in the background
37,a man with a bald head wearing a pair of glases,a man with a bald head and glasses is sitting while holding up a cell phone, a man with a beard and beard wearing a black shirt and jeans is standing next to a smiling man
38,a couple of computer monitors sitting on top of a wooden desk,two computer screens that are sitting on a desk, two laptops sit at a desk on a laptop
39,an assortment of broccoli and cauliflower is arranged,a white dish filled with broccoli and cauliflower, a white egg with eggs and onions
40,an army plane sitting on the tarmac,a large plane with two propellers on it, a large plane with its tail on
41,a statue of a large brown bear tearing off a cars door,a man poses with a picture of a bear and a car, a statue with a lion and a car
42,a bottle of beer sits next to the keyboard and mouse at the computer table,a blue moon beer is sitting on a desk along with a computer monitor keyboard mouse computer and speaker, a brown cup sits on a table with a laptop sitting next to it while a man sits next to him
43,a man riding a skateboard in the air above a skateboard ramp,a skateboarder attempts a trick above ground while his friend watches, a skateboarder flies a ramp while his friend watches and watches
44,a skateboarder is separated from his board as he performs a jump in front of a crowd,a skateboard enthusiast performing a stunt in mid air, a skateboarder performing an aerial trick
45,a giraffe facing the camera as its photo is taken,a giraffe sticking his head in the sky next to a tree, a seagull perched on a camera to take a picture of the camera
46,a train is coming down the tracks near a building,a black train with steam coming from underneath passes by a building, a train with luggage travels through the entrance near a building with many advertisements
